i,ATE,ATE_ipw
1,33.38923412003855,26.696630430344612
2,68.42992999122356,108.13248860481781
3,184.5273668055014,186.64628378162752
4,82.60794199205802,85.53072540121957
5,35.143312998597594,68.17911226839351
6,48.754762958695125,78.11718850666557
7,67.36444834072168,70.90806358128293
8,84.42639935673262,99.41438192890928
9,0.4487909983703169,-9.600936843318777
10,25.72865211826902,35.741216636704394
11,80.5170150446995,85.19068324544332
12,41.43576912180763,59.23277204140368
13,71.82163906278265,69.6811600200499
14,138.7395339126973,113.50706090291214
15,77.99091002191193,90.71743933383505
16,109.87170192674309,118.7619119387823
17,136.37054506521642,120.79279867089281
18,116.67500723842987,125.88143107991482
19,253.18316832020415,262.72836095534103
20,128.19207803588023,149.7568274129012
21,153.15959783369877,149.24378312422914
22,124.62351847294502,142.10665332746703
23,59.0804276395249,66.67196160424828
24,98.21460581073984,97.15264073807475
25,134.94654850195232,132.26097322852638
26,21.033126374906814,46.15741855403667
27,44.772692956130186,58.433084636200874
28,27.2881407393188,36.030819876063106
29,32.047940876568504,14.645950938991973
30,63.0263586641448,67.44021069631845
31,163.41215154123256,147.93664546194032
32,94.0578224292341,94.47463284639707
33,116.5588430944552,115.7986478241578
34,118.54048849268327,121.78993412078034
35,146.75352976861654,153.4044850928708
36,-55.85409618383503,-31.942589095693165
37,210.9007933854198,189.59040931875006
38,83.11471944865085,59.977190495383184
39,-43.074805354894444,-7.048912884386482
40,-116.36593478651383,-96.95637355445979
41,76.81391100820055,75.08540244692449
42,84.83871372966762,100.76749523644457
43,83.66055905255615,78.69172747235234
44,61.41433671278191,75.04877565735796
45,75.02640123254598,86.13856454473398
46,135.27120825108892,127.56928731558628
47,69.04246788458448,64.15186538135367
48,44.350464164691196,56.065010601195354
49,40.58745326402699,29.140838811756566
50,83.85232382057787,80.30525805238995
51,-35.84350144166093,-26.445576251594048
52,72.8008983109304,73.83522152758042
53,3.798968381565071,-2.0725418417878245
54,81.80012455330127,59.593874664325085
55,169.48556264271207,169.63084520621396
56,128.86177277241188,100.20537671733973
57,59.570927520367185,60.454864404578984
58,112.02217664492743,95.90012370962313
59,194.9082323829895,199.06615236584912
60,26.722818910934283,33.724668678417856
61,40.50073743796366,58.39305830878084
62,73.53483690548205,72.80953477566345
63,113.04242848189806,122.85830810503421
64,58.438651424265494,43.08961468761663
65,21.888376422202647,21.47626891676373
66,93.62695384207252,81.18109428912203
67,87.48451137039234,103.72179526778518
68,-1.2267385150571508,-8.991816858342645
69,190.6776066684535,185.19139580987348
70,31.532209652909344,41.86759197099036
71,145.7360813919745,144.30465159313144
72,106.85925168968136,92.25435844471531
73,16.131122786251048,12.680071474838314
74,14.011228973451582,13.33449274575787
75,246.27023857462368,255.69391295998503
76,-2.904830055670847,-0.16094427761254337
77,108.57979371164639,114.84923555933165
78,192.47596079200372,210.08837873625316
79,108.13830236949673,116.09331707469846
80,85.85153648157436,88.92593045543117
81,118.43661638741595,123.9301389657312
82,8.781297032311784,2.67426929383646
83,63.569831446141976,67.54361907534758
84,61.66333196118106,65.01584273097615
85,-28.61503932782779,26.612341794037093
86,56.86058349298292,60.879985452404526
87,13.652225199418853,3.4636106620364444
88,39.76785327144023,60.27221572434473
89,-6.892878468161122,9.735173069348093
90,107.32895062468614,101.6145354290611
91,95.0730779249207,95.76657414033434
92,70.14894654143791,58.09480663026761
93,84.27883421218861,87.18830993082065
94,151.1125439368789,146.1426587020378
95,161.4513956505083,188.82885380247308
96,87.6743554848347,86.90434274688141
97,109.78460592995361,97.35932689901983
98,62.314376665076246,72.48610504769476
99,62.37492677754644,70.35987312867019
100,22.27375081043827,8.074516242895697
101,44.694664757641355,62.699115470430115
102,63.0612526426064,85.21033121564915
103,110.40033004268864,99.12015982569119
104,116.88500775900793,130.47768165960133
105,65.24614892224146,75.97531961600362
106,94.4433610191306,101.4830912096345
107,58.25674315758604,50.753020403930805
108,81.16025593855363,106.46843526827979
109,74.4558400643261,66.21605785482097
110,154.91831292503613,166.18862135980726
111,103.35724834714058,98.29531646743953
112,141.56684752553943,147.50709996849264
113,51.958718760004345,54.91798918559516
114,73.53982607702241,56.330242187415934
115,-37.2961423907768,-14.644652584989672
116,7.980756152273136,7.176210455331784
117,27.803610954748464,46.2095418230183
118,134.9971701239354,115.4410377945469
119,50.5738410995956,50.118117237656406
120,13.925522975501796,28.89592963323048
121,82.76030274676373,69.15730157551934
122,94.36488836386135,90.35182489913177
123,56.82769324922788,80.26108391131947
124,135.70127078929767,89.0948996296006
125,77.60112155191635,75.35762318267962
126,159.52578375754965,160.7011705611917
127,87.76385450649292,74.07824514512276
128,-10.481525344001149,-4.125269169495368
129,85.58641359130962,110.18768132713831
130,138.76657365632758,128.8805337413337
131,85.09900464975325,102.12062050486793
132,105.57639934409116,108.72701091982253
133,99.0949240345341,102.40182975767266
134,75.10666294423486,97.26227684730156
135,93.59621707657101,97.36385484189441
136,41.67156880949423,35.22844571625046
137,100.84431817400875,102.09531880249824
138,78.8994577078312,80.80430297472321
139,105.40101993940563,107.73291214444771
140,69.65161070767508,80.83732126361201
141,122.18402066594095,113.7294836353949
142,-14.562099549651244,2.027554967145079
143,93.74875628920587,107.30490621016179
144,3.6804948215503437,-12.685189267415353
145,-15.604247271243828,-11.576275363000605
146,159.09681419089958,156.12300558686547
147,103.31928370644714,119.00596227995811
148,47.311683878658584,58.41737981150254
149,152.66463785109826,170.7674051774684
150,16.689610856865496,14.7625959641191
151,71.01648336443289,64.41689805011401
152,63.91686669580681,101.72929612161124
153,178.81535770383726,177.22337289611414
154,119.03702801965389,95.3219398267479
155,84.84905668135403,98.42839691464269
156,87.3128894901206,92.65828635200705
157,44.98150674554061,63.10497012735732
158,-61.1660400354372,-56.25487845319685
159,-2.8612760527543024,4.66541337601393
160,142.67500081104782,136.73433866415644
161,103.17431926866678,97.69745438713335
162,154.87452215290378,164.33951276327753
163,26.096066654800254,14.288808810801584
164,186.63313018465163,178.1787174049614
165,140.14149126793532,130.1422855572382
166,75.63688278010585,79.85192419021632
167,42.2334650349771,38.52576421769754
168,69.43833788605177,69.38559568271012
169,9.125572107370624,-4.441158874953544
170,72.00685572614043,75.0814392463758
171,44.14832694162212,62.446651399890015
172,81.1511865331103,80.41912526945043
173,90.65771750276808,87.46896571428351
174,-3.3158065262932155,-33.32584093509877
175,164.22804017701927,167.7727253568978
176,144.11132245868916,149.0562635152114
177,30.18702220038076,28.50701334828682
178,146.3502167209707,158.59882897368607
179,43.431270764126964,57.99094266631664
180,14.396231086903054,13.406066924463175
181,82.28649157488358,89.02423824084326
182,53.96549789075375,32.89942336288959
183,173.1204741091222,167.3239959879852
184,27.339045959033502,15.584218322709603
185,7.983352004088427,-7.026432090184244
186,148.49404668329402,141.59423819814901
187,52.58618358424088,32.98738747878633
188,55.87125794011709,56.436248066869666
189,-22.457922672369,-10.737321315614281
190,95.10409775494213,114.88932247475259
191,90.37394682508405,89.35607650948532
192,76.1340803069859,46.05961158643731
193,103.80772356998867,83.39422085772185
194,181.8780195996229,162.89278769864995
195,2.761624997489296,12.900735053372955
196,59.74192421529915,61.39079516788888
197,100.5692083958126,101.32583229440343
198,56.62854134501306,76.66422359724675
199,110.96826399129036,82.55834743910145
200,173.91689732932434,168.10324301499713
201,47.8767634539724,62.67164366210682
202,56.8240532048981,65.86865999740621
203,-11.980245168657683,-20.052644486500867
204,127.32835436012995,103.77041856865162
205,126.56466534984685,128.42019987609228
206,41.330319503455314,60.98661938733676
207,82.13949763607177,69.31696059650221
208,113.29040231167966,122.10923846119022
209,150.92372589212496,135.48877833611778
210,176.99853806057018,196.62647479352563
