"","iter","order","cde_bw","cde_preg"
"1",1,1,1.56564279163194,0.0182591176591027
"2",1,2,7.46829611919111,0.0182567487115028
"3",1,3,13.3709494467512,0.0182528013690844
"4",1,4,19.2736027743108,0.0182472997315195
"5",1,5,25.1762561018709,0.0182402677520693
"6",1,6,31.0789094294305,0.0182317292351294
"7",1,7,36.9815627569901,0.0182217078338634
"8",2,1,-9.3406968226609,0.0568836855375417
"9",2,2,-5.14503428582884,0.0513491877523683
"10",2,3,-0.949371748996782,0.0459513127242939
"11",2,4,3.24629078783528,0.0406896969665916
"12",2,5,7.44195332466734,0.0355637684127146
"13",2,6,11.6376158614994,0.0305727586543899
"14",2,7,15.8332783983315,0.0257157154700719
"15",3,1,172.472377299561,-0.0402455101732937
"16",3,2,178.318008810215,-0.0443438129544734
"17",3,3,184.163640320869,-0.0483773886505302
"18",3,4,190.009271831523,-0.0523465093442041
"19",3,5,195.854903342177,-0.0562514973754474
"20",3,6,201.700534852831,-0.0600927238570218
"21",3,7,207.546166363485,-0.0638706071862083
"22",4,1,99.413500070697,-0.0305149658348252
"23",4,2,106.174196624851,-0.0310030014094588
"24",4,3,112.934893179005,-0.0314905607359235
"25",4,4,119.695589733158,-0.031977644765274
"26",4,5,126.456286287312,-0.0324642544517806
"27",4,6,133.216982841465,-0.0329503907528976
"28",4,7,139.977679395619,-0.0334360546292294
"29",5,1,44.0062146759597,0.0163756610153764
"30",5,2,51.4288322588241,0.0112825945719673
"31",5,3,58.8514498416885,0.00629188462978438
"32",5,4,66.2740674245529,0.00140330833775604
"33",5,5,73.6966850074173,-0.00338348977565243
"34",5,6,81.1193025902817,-0.0080689909658289
"35",5,7,88.5419201731461,-0.0126537954396055
"36",6,1,-31.0710079809032,0.0458036373858758
"37",6,2,-21.26964852335,0.0380063536590948
"38",6,3,-11.4682890657973,0.0303843991488796
"39",6,4,-1.66692960824412,0.0229362690696149
"40",6,5,8.13442984930907,0.0156601708799722
"41",6,6,17.9357893068618,0.00855404625548986
