"","mean_R1","mean_R2","mean_R3","mean_R4","mean_CD41","mean_CD42","mean_CD43","mean_CD44","sd_CD41","sd_CD42","sd_CD43","sd_CD44","iter","treatment"
"1",0,0,0,0,6.00110486060114,5.81245026121134,5.64411869109419,5.41826382672545,0.347469981591445,0.331715457056793,0.324720427766197,0.319202083879109,1,"0, 0, 0, 0"
"2",0,0,0,0,5.96703757226939,5.77992760682867,5.61228185618473,5.3869680313943,0.340486618080514,0.32504872398186,0.318194279014784,0.312786841402723,2,"0, 0, 0, 0"
"3",0,0,0,0,6.04744984823098,5.85669393568219,5.6874293798019,5.46083848759555,0.351294258164354,0.335366338337197,0.328294321312234,0.322715242183639,3,"0, 0, 0, 0"
"4",0,0,0,0,5.99771253735401,5.80921174820008,5.64094847002679,5.41514748083359,0.358900012966618,0.34262724306036,0.335402112153803,0.329702242244008,4,"0, 0, 0, 0"
"5",0,0,0,0,5.99810122392738,5.8095828114607,5.64131170851374,5.41550454639542,0.339828855374145,0.324420784682532,0.317579581346795,0.31218258999197,5,"0, 0, 0, 0"
"6",0,0,0,0,6.01767231872555,5.82826653955239,5.65960144463888,5.43348346421376,0.361061755827465,0.34469097103433,0.337422321391102,0.331688119765954,6,"0, 0, 0, 0"
"7",0,0,0,0,5.98630478348398,5.79832122962447,5.63028760459157,5.40466778762092,0.344789699729701,0.329156700991774,0.322215629312261,0.316739852316735,7,"0, 0, 0, 0"
"8",0,0,0,0,6.05349491598272,5.86246491596378,5.69307866489188,5.46639176795292,0.381515847781292,0.364217660592,0.35653724308418,0.350478199834491,8,"0, 0, 0, 0"
"9",0,0,0,0,6.01803623203063,5.8286139527815,5.65994153181289,5.43381777189928,0.348591558324834,0.332786180740712,0.325768572630311,0.320232416424351,9,"0, 0, 0, 0"
"10",0,0,0,0,6.01272513786011,5.82354366722135,5.65497816558753,5.42893875380642,0.366835166794632,0.350202611634129,0.342817735608877,0.336991843567848,10,"0, 0, 0, 0"
"11",0,0,0,0,5.98666739001807,5.79866739533247,5.63062647055149,5.40500089484583,0.339355229945187,0.32396863375162,0.317136965120817,0.31174749564739,11,"0, 0, 0, 0"
"12",0,0,0,0,5.98385830987986,5.79598568079216,5.62800130650155,5.40242034319704,0.376683604840443,0.359604514822137,0.352021376741896,0.346039076749774,12,"0, 0, 0, 0"
"13",0,0,0,0,6.02394428007009,5.83425412591745,5.66546276814488,5.43924517957696,0.364841480098739,0.348299320044659,0.340954579563692,0.335160350254335,13,"0, 0, 0, 0"
"14",0,0,0,0,6.01087150937427,5.82177408350774,5.65324589786159,5.42723592447795,0.406638933909571,0.388201648962881,0.380015470575998,0.373557435079193,14,"0, 0, 0, 0"
"15",0,0,0,0,6.0013399500576,5.81267469155247,5.6443383887743,5.41847979083278,0.380449449644298,0.363199613669508,0.355540664163526,0.349498556913931,15,"0, 0, 0, 0"
"16",0,0,0,0,6.05247153332674,5.86148793417123,5.69212228514277,5.46545164105361,0.422998849401124,0.403819794794747,0.395304269718602,0.388586414253371,16,"0, 0, 0, 0"
"17",0,0,0,0,6.02089574685433,5.83134381526446,5.66261382848871,5.43644465519557,0.362832764798937,0.34638168125837,0.339077378867319,0.333315050966379,17,"0, 0, 0, 0"
"18",0,0,0,0,5.97247464029455,5.78511815450348,5.61736294850481,5.39196277492833,0.382082374154196,0.364758500275076,0.357066677843716,0.350998637306456,18,"0, 0, 0, 0"
"19",0,0,0,0,5.96272473310888,5.77581031471961,5.60825138721969,5.38300605677662,0.36364526505761,0.347157342204475,0.339836683110949,0.334061451488614,19,"0, 0, 0, 0"
"20",0,0,0,0,6.0165941821671,5.82723728643643,5.65859389583467,5.43249303783337,0.361882977818741,0.345474958263769,0.338189776338077,0.332442532477354,20,"0, 0, 0, 0"
"21",0,0,0,0,6.0093433159993,5.82031517945644,5.65181775835971,5.4258320549764,0.353071797588186,0.337063282918459,0.32995548167905,0.324348172561295,21,"0, 0, 0, 0"
"22",0,0,0,0,5.99739387385611,5.80890753312121,5.64065067006468,5.41485474172525,0.343972714369705,0.32837675830188,0.321452133615851,0.315989331571849,22,"0, 0, 0, 0"
"23",0,0,0,0,6.03875289547731,5.84839130866252,5.67930183391866,5.45284906235181,0.341184669233325,0.325715125022155,0.318846627364145,0.313428103653957,23,"0, 0, 0, 0"
"24",0,0,0,0,5.99359462004199,5.80528054005076,5.63710016098743,5.41136457049061,0.340462534917034,0.32502573276534,0.318171772624128,0.312764717488784,24,"0, 0, 0, 0"
"25",0,0,0,0,6.06235818481492,5.87092631817822,5.70136163780774,5.47453397888078,0.355581832463686,0.339459511111011,0.332301179557029,0.326654007324918,25,"0, 0, 0, 0"
"26",0,0,0,0,6.01262745787121,5.82345041610938,5.65488688090264,5.4288490204261,0.338891285396338,0.32352572476315,0.31670339594839,0.31132129460948,26,"0, 0, 0, 0"
"27",0,0,0,0,6.05504737383147,5.86394698432117,5.69452948022398,5.46781792792848,0.348077203412141,0.33229514702847,0.325287893561263,0.319759906081923,27,"0, 0, 0, 0"
"28",0,0,0,0,5.95718926664703,5.77052583005994,5.60307833880513,5.37792091986271,0.35767267493608,0.341455553368208,0.334255130395942,0.328574752452869,28,"0, 0, 0, 0"
"29",0,0,0,0,6.00320592595981,5.81445606284222,5.64608219550659,5.42019396307214,0.379581217858699,0.362370748101691,0.354729277247371,0.348700958819315,29,"0, 0, 0, 0"
"30",0,0,0,0,5.99215611846368,5.80390726110925,5.63575584098111,5.41004309604451,0.341385413270805,0.32590676718888,0.31903422828847,0.313612516462212,30,"0, 0, 0, 0"
"31",0,0,0,0,6.05164255691963,5.86069654411642,5.69134758347705,5.46469010477521,0.372864404767122,0.355958479869388,0.348452227326878,0.342530581953843,31,"0, 0, 0, 0"
"32",0,0,0,0,5.99836552064654,5.80983512478743,5.64155870119871,5.41574734165253,0.342601925780026,0.327068122196191,0.320171093293522,0.314730061426039,32,"0, 0, 0, 0"
"33",0,0,0,0,5.96587206681182,5.7788149461787,5.61119265869776,5.38589734388015,0.3579362422168,0.341707170329733,0.334501441400272,0.328816877613905,33,"0, 0, 0, 0"
"34",0,0,0,0,6.01533831327616,5.82603835949242,5.65742025118883,5.43133933826705,0.352889483460371,0.3368892350368,0.329785104021387,0.324180690325124,34,"0, 0, 0, 0"
"35",0,0,0,0,6.01073092716456,5.82163987539073,5.65311451985,5.42710677912246,0.344626924150001,0.329001305767212,0.322063510974935,0.316590319099485,35,"0, 0, 0, 0"
"36",0,0,0,0,6.02221806685552,5.83260618038032,5.66384957355787,5.43765939984201,0.440946606680298,0.420953788591096,0.412076951475007,0.405074058734858,36,"0, 0, 0, 0"
