"","i","AIPW_preg_ate","AIPW_preg_ate2","AIPW_bw_ate"
"1",1,-0.00555064696486455,0.0471799563107275,103.696079572935
"2",2,-0.0119168774770131,-0.0216169186786366,136.592170195881
"3",3,0.00298318452429958,0.0432349897718749,2.81370713453715
"4",4,-0.0362890899634529,-0.0176220368112128,138.812320790224
"5",5,-0.0161210626426532,0.0590874495074708,108.82369249638
"6",6,-0.0308109132683524,-0.0353494664801252,47.6023184291661
"7",7,0.0225451907888272,0.0281493740777403,80.3474388676587
"8",8,-0.096200122286855,-0.0958920248441065,131.32648868868
"9",9,-0.0547947109821065,-0.0412416752766193,130.277854709427
"10",10,-0.0387486423077819,0.00613772208352908,136.987144215824
"11",11,-0.0538248254754018,-0.022103732482601,107.510323945871
"12",12,-0.00045019322098416,0.00415058919685995,115.670729939318
"13",13,-0.0396032382157384,-0.038621872232901,81.8356723722813
"14",14,-0.00439291077448179,0.0142177989970361,28.4955712639823
"15",15,-0.00850967654689002,-0.0279452369830286,-20.1587686502489
"16",16,-0.064279411072441,-0.0373949931505033,104.275437745416
"17",17,0.0108776775109586,0.00862702972644902,39.3095286973283
"18",18,-0.0486035665205559,-0.0416801066282528,66.2348609534053
"19",19,-0.0377009079797253,-0.0854902653493158,88.9797583781323
"20",20,-0.0358288468263167,-0.0156624027598248,11.7155929603426
"21",21,0.0217151986716346,-2.15440882901337e-05,45.9249788251012
"22",22,-0.0262766696919711,-0.00864904815047882,147.628853120227
"23",23,-0.0270684676043955,0.00163636309621847,149.652381249596
"24",24,-0.0463747615010638,-0.0238760696087423,99.6534106007082
"25",25,-0.0318947021471228,-0.0365960144189236,106.062907571013
"26",26,0.00905423062376063,0.0124799844522541,37.0550228974156
"27",27,0.0169680490879527,0.0719679938785071,130.501531622629
"28",28,-0.0560685228449884,-0.0746434471378527,76.7970762953799
"29",29,-0.0218490259165141,-0.0299527554954769,90.0070175060725
"30",30,-0.00303034728408305,0.000841253433225411,10.3828261045134
"31",31,0.00243787597253333,0.0285622240305563,61.8206439334313
"32",32,-0.00188814832792126,-0.0126398727233764,31.5464976573902
"33",33,-0.0202846374223593,-0.0930293224118969,45.7081570389702
"34",34,-0.0241393837628361,-0.00650180591322948,86.4884772399798
"35",35,-0.0879133980609873,-0.0748519275792497,131.067321592382
"36",36,-0.00980227309741389,0.0476327125989152,-3.50236071512683
"37",37,0.00969269200119153,0.0188086171690829,51.5178749925221
"38",38,0.00797647912856378,-0.0153825760958604,30.805053080534
"39",39,-0.046132064710041,0.0128426355538092,44.4947421169651
"40",40,-0.0752562856903577,-0.0123312761850684,12.9165121133329
"41",41,-0.0529462892342897,-0.0420238439906465,73.9059463170358
"42",42,-0.0228060806878894,-0.00472405050468626,107.912547467694
"43",43,-0.0811709336934324,-0.0614419308242278,176.271223411719
"44",44,-0.0377402724421794,-0.035494119535436,114.480357656906
"45",45,-0.00459866110650098,-0.00990872713879842,18.7816889892551
"46",46,-0.0513917185113066,-0.0448160133965704,116.742017941467
"47",47,-0.0192780855879129,-0.0895016200331599,73.4080291549097
"48",48,-0.0270848952475564,-0.0274677117993944,55.1305416811187
"49",49,-0.0460208475949484,-0.0122770915242935,72.9882178195849
"50",50,-0.0146668956588319,0.0332145587279128,53.1378240533588
"51",51,-0.0570879029519546,-0.0151619650086168,55.906618527244
"52",52,-0.00721994710065792,0.0349874697028129,29.0136135119583
"53",53,-0.0170917363604953,-0.0433605869972389,133.094962294587
"54",54,-0.0492622101363089,-0.0412003567669012,93.1498351524516
"55",55,-0.0525073165058414,-0.0203886664280607,79.9236316273018
"56",56,-0.0329813282816737,-0.0122323793176933,-27.0025460294855
"57",57,-0.00495413734824957,0.0296969059237316,76.7745143104549
"58",58,-0.0121901539637264,-0.0359238144002618,160.05394672298
"59",59,-0.0372022273573096,-0.0534499206958457,101.512169715524
"60",60,-0.0216099270811974,0.0287061665832663,76.3561711795591
"61",61,-0.0371139925788137,-0.0170554623564743,82.7441368116715
"62",62,-0.0351753722023219,-0.0454157898293751,154.889422371727
"63",63,-0.0522266264086345,-0.047549847257707,104.046537421997
"64",64,-0.0498525604725674,-0.0531851407759336,87.1540873060614
"65",65,-0.031097002624902,-0.0447743181022027,26.8580468241555
"66",66,-0.018118684856575,-0.0822549616408912,83.8673071205646
"67",67,-0.0588922150572121,-0.0781447616908315,82.8663170729621
"68",68,-0.0457464390473576,0.00197456056716617,82.9802874520818
"69",69,-0.0180845943221599,0.053150764487862,102.363354118225
"70",70,0.0128406357771929,-0.0142690723107221,63.0859049252498
"71",71,-0.0189226922557495,0.00974386591359565,69.2722865609496
"72",72,-0.0176655282556216,-0.0455756424769948,72.0964843299203
"73",73,-0.0822941428077608,-0.137661879400858,54.9682632165533
"74",74,0.000321991876206174,0.0240358226829683,64.2320150220867
"75",75,-0.0176385050940311,0.0291268058730373,33.8370819377091
"76",76,-0.0645794867588306,-0.117798491773202,175.405316787356
"77",77,-0.0230903343672135,0.0109883685817433,47.5499624904182
"78",78,-0.0225245774816213,-0.0454352078896566,51.5938176735734
"79",79,-0.0533990097799271,-0.0488808127082191,79.7889451832724
"80",80,-0.0439854027273828,-0.0656787609571231,54.4209317637908
"81",81,-0.0348091625434589,-0.0373304230707956,102.597475412093
"82",82,0.0395561470927094,0.113025916211455,69.3686564217695
"83",83,-0.00563167440909404,-0.0182172209027648,98.3902166685179
"84",84,0.0318136841090678,0.00278225329038365,10.6410560687364
"85",85,-0.0394873943494492,0.0284609027102832,88.258858504276
"86",86,-0.0287855335062995,-0.0309750504120383,9.98105365525778
