i,ate
1,9.213716387676124e-4
2,-0.057242363775589916
3,-0.017994609277698193
4,-0.0569108266296761
5,0.018092704785351355
6,-0.00854183590925485
7,-0.025604036911866912
8,-0.033090436489409306
9,-0.03258379290418091
10,-0.013300337018463393
11,-0.06142132137480802
12,-0.009857399918468193
13,0.014791647777275388
14,0.03875370525920149
15,0.003316830062274234
16,-0.04916446120243845
17,-0.029630434047329804
18,-0.05861543806129875
19,-0.023223504349258087
20,0.029591814650581777
21,-0.047948134869344836
22,-0.030858229531549694
23,-0.016243646832431027
24,-0.018637008505008865
25,-0.07287177647539145
26,-0.0320789993984516
27,-0.006463182992484773
28,-0.04396593623323475
29,-0.04518517703266818
30,-0.025693870973585956
31,-0.02721700285002915
32,0.002472513530256154
33,-0.028092582219910803
34,-0.01992596704949337
35,-0.03223205889479665
36,-0.06623996161608674
37,-0.01990505023614196
38,0.022243792941766233
39,0.009338773893759741
40,-0.010477180535467506
41,-0.02140699660251838
42,-0.01316317241666684
43,0.03100404130132478
44,-0.06831540416726763
45,-0.05329737252533488
46,-0.01000612037019255
47,-0.024434422500699507
48,0.02489427726172133
49,-0.010097878232008944
50,-6.468725165890976e-4
51,-0.04433498145178555
52,-0.10054491174249408
53,-0.05305663253930551
54,0.013990481931802162
55,0.025554965783110298
56,-0.050759653752535425
57,0.00966965707746964
58,0.022226199440384273
59,-0.05542747363748883
60,-0.019572564108479643
61,-0.035294562929723564
62,0.031309090470428486
63,-0.01286822653245645
64,8.747872235451148e-5
65,-0.028375998937045233
66,0.05192676269020005
67,-0.014000817212126315
68,0.006555623494173574
69,-0.035672970455089756
70,0.03243894212438593
71,-0.030432415433460785
72,-0.020204385835606006
73,-0.03495436293976115
74,-0.031527411097377986
75,9.272354465745397e-4
76,-0.002652329726687927
77,-0.017764362486467233
78,2.978179383368862e-4
79,-0.010715910342983637
80,0.009171645151488064
81,-0.035894391486433544
82,-0.022873651149441163
83,0.0021853705867671963
84,-0.009493389885480097
85,-0.022736438775241313
86,-0.04269132159721463
87,-0.024232493461312607
88,-0.037331753445406415
89,0.002292879997599445
90,-0.006511431219354116
91,-0.006998180275049171
92,-0.006683057678423934
93,-0.011648918660290636
94,-0.0034106088702863663
95,0.042364741670112546
96,0.017946220974953797
97,-0.0315799318848527
98,0.009659837431306273
99,-0.0534790569010119
100,-0.023752550081460863
101,-0.03432356094431446
102,-0.0346706268367858
103,-0.02586426453962528
104,-0.01685093721191215
105,0.02181644627797935
106,-0.056279894201906405
107,-0.0467732869377573
108,-0.052998786093190864
109,-0.004095777934366357
110,-0.046680147992753426
111,0.001045924209361837
112,-0.046009364632826066
113,-0.05877926016708518
