i,ate
1,91.77193076314961
2,73.03219362991649
3,91.26349284954904
4,82.37254497081676
5,86.51633480119199
6,74.41602772689794
7,84.74365502393493
8,60.941681582503406
9,84.54278471114776
10,77.46313037715208
11,57.10244523682786
12,94.05249224307727
13,90.16272414034574
14,74.17120648361515
15,81.11617853098005
16,91.59581742526143
17,83.83636056333808
18,80.26807413515007
19,82.04796435847629
20,99.75579154490333
21,86.88800655175555
22,77.80550398976129
23,66.18287167886547
24,87.25991413558177
25,74.4145516044382
26,71.62323440986393
27,80.50067652573625
28,86.65169326062096
29,85.07107085333018
30,81.71829264241023
31,77.26465714267397
32,84.51259593558007
33,84.47389025063967
34,74.12336679013151
35,73.81561791138847
36,90.7424531505053
37,89.19818448770002
38,78.80616460061356
39,69.41436751404854
40,98.40491163260867
41,88.413177377794
42,86.48115031855014
43,93.18981582261358
44,93.45459956099467
45,81.89706163012397
46,72.02650626013701
47,78.9326742161984
48,86.27427503405488
49,75.97366415745546
50,103.55293548959435
51,76.12026190278266
52,89.2537907432934
53,78.58738930267009
54,72.17041104612099
55,83.53005111326274
56,72.94998547989871
57,77.04647876083482
58,74.39594646580599
59,67.92777873315617
60,96.74281818698728
61,71.71408951213607
62,91.57168863054903
63,79.55798171436936
64,76.07559544551032
65,83.05616356213295
66,64.6267745996347
67,64.54268565992334
68,79.38334469785514
69,80.12209441280902
70,86.13021533367555
71,88.28043575728498
72,98.60531674651975
73,85.62741141600827
74,51.67924006994599
75,85.83822619877765
76,83.91979517091931
77,94.53439228884326
78,91.85339063751462
79,81.26266038434869
80,96.11364452075895
81,90.23716138030477
82,70.75899101697041
83,72.43501448845973
84,86.90652368573637
85,74.40638027684327
86,57.03235474341136
87,94.51599271241503
88,72.17985731335057
89,80.33413290334738
90,67.94001401679088
91,89.27165560120602
92,94.84012673493771
93,79.84383936636004
94,84.38058346291382
95,87.79378406143587
96,80.18177440018417
97,79.07648234948238
98,83.89915614087522
99,81.0841680413123
100,81.8781357559842
101,66.29746364754374
102,83.12671466830079
103,82.47771389192212
104,84.29323043560635
105,78.5721171370351
106,90.43267572313971
107,65.7932103063431
108,62.749314920027246
109,93.20026301379221
110,71.94349053538508
111,75.71737005121304
112,81.89903509385567
113,87.04592155336468
114,82.02325511110439
115,80.20436460731071
116,84.47445672375807
117,79.95391448473947
118,85.19860626499076
119,87.66074138734166
120,77.90928895331945
121,74.45540693855855
122,60.155870350903115
123,91.59806592903169
124,79.19526488784413
125,82.06314026612472
126,83.40374432898352
127,64.30213729195248
128,82.67467184282987
129,92.62338834330467
130,88.4588490917049
131,91.00600885530321
132,82.9813430814188
133,81.63588670262561
134,78.53291739006363
135,67.99950976443597
136,70.25441810054235
137,84.16896495639958
138,83.33843197567967
139,83.77151076891732
140,74.55755325053269
141,81.90415057335258
142,82.06233082674271
143,82.69411288478022
144,85.01646333660074
145,85.77650233692384
146,90.0003037525139
147,74.69933447480344
148,72.2575613251106
149,84.91730927476965
150,69.37584342259743
151,69.61855062148743
152,90.82277773000214
153,91.70890277636681
154,85.43632677029154
155,60.724332221841905
156,82.0899407887814
157,94.2930749084253
158,93.54969691198585
159,82.89365045275281
160,91.08975378867399
161,84.72283830148126
162,85.98115629956374
163,80.13901256637246
164,91.35980410331831
165,80.53983657629487
166,69.2878122349548
167,79.98862010309676
168,93.72926147331373
169,74.78883825192497
170,84.64362841222055
171,82.93373602947804
172,77.56030094561038
173,94.82553495743832
174,79.71197866479906
175,84.96980766946172
176,88.13829245660554
177,81.08140365903273
178,61.765066253280565
179,67.16710687123395
180,79.75031610439146
181,80.67156607276456
182,83.62856753685946
183,82.72373908254622
184,81.68743970063224
185,100.88138054283536
186,77.25720582351641
187,80.7291998773494
188,93.6508323477583
189,87.10673222742753
190,72.71290222830021
191,62.98061439990488
192,85.64800705447487
193,84.0884825333128
194,77.6540721862375
195,77.06861018492555
196,75.20268420285856
197,87.89470310317301
198,77.36584188604229
199,81.31663668257352
200,91.38259718101199
201,99.03250140212958
202,72.29773019713684
203,98.51115133105714
204,77.95787331789097
205,101.6302341213268
206,76.02077596153504
207,74.45163711999749
208,74.74145150432378
209,81.51250923182761
210,85.95226574469507
211,64.98859997121144
212,85.2118984376516
213,73.21346006982321
214,92.38401662066235
215,70.76874569720394
216,85.41656334488334
217,75.29227340804573
218,79.41548369936027
219,80.7987608991557
220,81.09208428538022
221,81.7047143390696
222,74.03586325609649
223,72.46813453807954
224,80.37213385388759
225,94.03918757412202
226,75.40574563717473
227,74.13628324727188
228,83.32704344812282
229,87.56434802687545
230,90.93022201267331
231,61.86281196139362
232,90.70996340534066
233,89.9019085817772
234,91.00426036114413
235,86.05263880968869
236,68.43466806824745
237,83.52949900021076
238,80.75451373575834
239,69.48579158667235
240,81.3889606745247
241,85.43153333218606
242,81.65747381584742
243,73.97211643903393
244,78.6577608311386
245,68.36615494190755
246,64.0274825565566
247,102.8709439326999
248,76.55695431139429
249,84.3227609370947
250,79.75497417408678
251,83.99570680691977
252,88.43756468749916
253,89.06318779581898
254,77.04229885862742
255,86.29609503497113
256,80.739630314225
257,88.63823302432183
258,88.01034090093981
259,93.20800371927817
260,77.85659512827306
261,93.74461944699942
262,86.11728949160852
263,91.19752292960175
264,87.52862950867984
265,67.67678576996377
266,77.9333528231482
267,89.23832537611224
268,78.45672466363749
269,82.75984154643993
270,89.10366565867662
271,97.4125906544864
272,89.30671350300645
273,89.98773842953187
274,83.21475026833878
275,83.35553453540024
276,88.70570215408134
277,93.35716121429823
278,86.17550671402432
279,91.2811351708906
280,71.40640916849725
281,81.79908656160796
282,84.39661840556619
283,74.47881764336535
284,81.58744413924569
285,79.52551193211548
286,76.2292975436053
287,72.61288731556897
288,84.07871237603604
289,88.56557666583558
290,85.85306614461979
291,62.8624724812903
292,83.63818574209063
293,81.12570896237185
294,90.0927267866532
295,81.49845745784341
296,70.37519203792863
297,80.85654672223018
298,89.52541015991528
299,76.3069263655907
300,91.20910537854434
301,78.70413948613987
302,70.16978480284843
303,87.07311568746991
304,84.85873996738064
305,93.37371390395128
306,93.51830141214123
307,80.70292978612042
308,87.97833118963945
309,81.43777847441379
310,76.17592801567889
311,87.8014056423981
312,83.9120966445148
313,84.86318542539038
314,78.0274103684169
315,82.80983919046867
316,86.8792270812728
317,88.5148230305299
318,81.15355262571256
319,72.26427611966346
320,88.52267723470777
321,76.95160450943331
322,93.91837745951216
323,83.6985409658464
324,80.14496191677017
325,78.81450479079467
326,70.37059308858034
327,77.74330992055638
328,80.67908278584673
329,78.88573240111964
330,86.00488887791562
331,90.07873256791436
332,83.31801534980423
333,64.60929796900018
334,90.44306735264036
335,80.56161652480614
336,84.87769159794607
337,79.00258485379436
338,79.250213838729
339,80.09939331808346
340,63.02078934590236
341,76.75896964368303
342,72.19824097727906
343,72.8947404515443
344,91.09000092353108
345,77.78831387461287
346,90.01640891020452
347,78.43283799308074
348,70.4233528158361
349,83.50805042506045
350,50.067355338204834
351,62.7960499227197
352,69.40659778592772
353,87.37375795176376
354,82.12691406087879
355,82.06261056611629
356,86.73730463018092
357,87.18085317466466
358,72.15278346412424
359,86.73223375702992
360,67.74598140997568
361,79.34943550713933
362,78.84990216894857
363,70.84362658278269
364,97.59568070042315
365,64.87799524087313
366,104.0346179235703
367,75.0716768921161
368,97.2776026672509
369,87.16943009117722
370,70.93849916115914
371,81.69688184099277
372,75.91149807911961
373,92.2795292760452
374,84.43593029450903
375,102.71825235181905
376,69.61238032767324
377,83.77829016838177
378,77.16562545626084
379,68.04378612150595
380,80.11338957706175
381,79.9815351649545
382,94.30254824810345
383,57.800718284620416
384,82.47096220005233
385,67.44767165717167
386,78.53280452722083
387,85.16866391236681
388,90.05641614605202
389,93.20776053516056
390,71.11449071978677
391,98.62475724884916
392,76.70538746963757
393,58.28100431400071
394,79.31952577521724
395,79.96658130174956
396,96.3782626771158
397,84.07186078639279
398,88.84428265601719
399,75.95310444011557
400,83.36417834881377
401,90.21148370989249
402,76.36413137288446
403,70.51694293374248
404,71.62908088122822
405,71.03767388152573
406,82.54923080961589
407,82.47107630736491
408,61.01735633278258
409,86.6704016274789
410,90.0520884384805
411,74.13372705177153
412,73.04509118038823
413,82.48455209798658
414,74.35989508063676
415,84.27201063785151
416,87.15104924077195
417,75.18496890597271
418,82.17396313776453
419,76.49094127647686
420,62.6678185337214
421,83.40030490174968
422,83.2650731312865
423,88.49219643634524
424,108.23951388075739
425,102.55142575251011
426,84.17714016921082
427,88.65271987601136
428,86.54880192098972
429,77.49234100903595
430,85.62991939655058
431,83.45496105431994
432,74.23686836161505
433,83.85344456243638
434,66.15686823192164
435,89.14682625046589
436,79.91790409009582
437,90.36303508746869
438,54.61071141610773
439,83.53059642017024
440,81.34900579229088
441,81.32284624510567
442,85.63267532750206
443,88.04335456769059
444,83.97607593612247
445,80.46327109576669
446,74.34778623906277
447,80.31075901994973
448,81.981079727635
449,63.54446318223654
