"","K","bw_reg","preg_reg","bw_ipw","preg_ipw","bw_prs","preg_prs","bw_pss","preg_pss"
"1",1,0.493437520595307,0.0221062869684508,-5.15991674299858,0.0259157990177696,1.82178642163399,0.0203479022099129,14.5773622251167,0.0129271018696994
"2",2,159.561871101866,-0.0199588931130604,135.839524172761,-0.0222363686974199,136.932410000705,-0.0161399445904439,130.161914449956,-0.0115167992272702
"3",3,82.7832094521359,-0.0133233181872234,99.8457503789577,-0.0147816492283504,71.4565303211348,-0.0128264539910377,72.0559131880539,-0.0108335877440734
"4",4,60.7359382604036,-0.0218861648961277,52.6669480907326,-0.0320658269791293,47.1613142317892,-0.0244417806782984,52.0270552719481,-0.0284269238041218
"5",5,126.416703869586,0.00488201530686368,136.794023555632,-0.0101454336120322,168.679722884442,-0.0118369344314352,148.5446998842,-0.00884989378830962
"6",6,14.8675365411054,-0.0543470086002256,-5.81321140421278,-0.0483886733704749,-2.22404442564311,-0.0477721240648275,13.5869409764173,-0.0498431583847769
"7",7,51.3059759200992,-0.032028240245276,86.95047010398,-0.040958627860672,122.483402276515,-0.054415309908405,137.768116422098,-0.0706797944829982
"8",8,134.563202884148,-0.0661413766480238,127.261051596984,-0.0727522327588759,140.960525411715,-0.070049193809518,127.420022227624,-0.0659758075179595
"9",9,82.5625001608964,-0.025084876784785,89.8915441170525,-0.0355337487548729,102.565943198086,-0.0399487319870169,83.4823199722876,-0.0317305752499638
"10",10,55.6899571703857,0.00571999696823045,48.8616917458476,-0.00409842551284231,98.6427202981199,-0.0135404246984755,85.2740805960956,-0.0125631648494701
"11",11,106.650660780901,-0.0381471447007472,112.797881452639,-0.0410719594187402,146.977817176235,-0.0499276237376251,162.449165138614,-0.0561539023092391
"12",12,101.799497694339,-0.0404736328070111,79.9582186321077,-0.0478268004029292,89.6114476714174,-0.0520860078940582,95.3976156051239,-0.0537117587959986
"13",13,13.5582777876957,-0.0217155635324748,-20.5208169108969,-0.0152160160931411,30.9489003644512,-0.0307001640339105,31.7557811855924,-0.0331372738510976
